filename total_time_msec avg_time_msec
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_9.mp4 210699.21 70.23
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_7.mp4 1013134.81 70.36
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_13.mp4 135573.17 68.96
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_16.mp4 202557.90 67.52
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_4_rain.mp4 188603.39 62.87
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_5_rain.mp4 190886.43 63.63
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_15.mp4 212441.53 70.81
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_8.mp4 199330.96 66.44
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_1_rain.mp4 193870.96 65.47
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_11.mp4 148278.88 70.24
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_12.mp4 133456.39 66.83
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_3_rain.mp4 188864.57 62.95
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_7_rain.mp4 203257.79 67.75
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_20.mp4 221578.97 73.86
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_10.mp4 150702.24 71.39
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_17.mp4 208770.14 69.59
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_6_snow.mp4 196638.55 65.55
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_1.mp4 200833.60 66.94
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_2_rain.mp4 188727.60 62.91
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_6.mp4 1156405.68 64.24
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_7_dawn.mp4 160003.16 66.67
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_4.mp4 1713132.98 63.45
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_18.mp4 206936.20 68.98
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_5.mp4 1157921.81 64.33
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_19.mp4 214378.68 71.46
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_14.mp4 202577.71 67.53
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_4_dawn.mp4 278674.12 61.93
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_5_dawn.mp4 186898.96 62.30
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_1_dawn.mp4 185159.35 61.72
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_3.mp4 1153515.59 64.08
/media/venkatesh/HDD_2/data/AI_city/AIC20_track1/Dataset_A/cam_2.mp4 1146567.10 63.70
